Date : 2024-09-04 02:00:18
Directory : /Users/divnoor/work-based-projects/Zippex/Zippex-merchant-app/zippex-merchant
Total : 61 files,  12428 codes, 107 comments, 522 blanks, all 13057 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JSON               |          3 |      8,090 |          0 |          2 |      8,092 |
| TypeScript JSX     |         44 |      4,031 |         97 |        475 |      4,603 |
| TypeScript         |          3 |        135 |          4 |         16 |        155 |
| PostCSS            |          1 |         68 |          4 |          6 |         78 |
| XML                |          5 |         44 |          0 |          3 |         47 |
| JSON with Comments |          2 |         29 |          0 |          2 |         31 |
| Markdown           |          1 |         23 |          0 |         14 |         37 |
| JavaScript         |          2 |          8 |          2 |          4 |         14 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                          | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                             |         61 |     12,428 |        107 |        522 |     13,057 |
| . (Files)                                                                                                                     |          9 |      8,232 |          2 |         27 |      8,261 |
| public                                                                                                                        |          5 |         44 |          0 |          3 |         47 |
| public (Files)                                                                                                                |          2 |          2 |          0 |          0 |          2 |
| public/images                                                                                                                 |          3 |         42 |          0 |          3 |         45 |
| src                                                                                                                           |         47 |      4,152 |        105 |        492 |      4,749 |
| src/app                                                                                                                       |         10 |        570 |         44 |         75 |        689 |
| src/app (Files)                                                                                                               |          3 |        110 |          4 |         15 |        129 |
| src/app/business-on-boarding                                                                                                  |          1 |          9 |          9 |          4 |         22 |
| src/app/constants                                                                                                             |          1 |         78 |          0 |          3 |         81 |
| src/app/dashboard                                                                                                             |          3 |        353 |         31 |         47 |        431 |
| src/app/dashboard (Files)                                                                                                     |          1 |         17 |          2 |          5 |         24 |
| src/app/dashboard/home                                                                                                        |          1 |        226 |         17 |         15 |        258 |
| src/app/dashboard/orders                                                                                                      |          1 |        110 |         12 |         27 |        149 |
| src/app/sign-in                                                                                                               |          1 |         11 |          0 |          3 |         14 |
| src/app/sign-up                                                                                                               |          1 |          9 |          0 |          3 |         12 |
| src/components                                                                                                                |         34 |      3,506 |         57 |        399 |      3,962 |
| src/components (Files)                                                                                                        |          1 |        124 |          6 |         18 |        148 |
| src/components/cards                                                                                                          |          1 |         73 |          0 |          8 |         81 |
| src/components/dashboard                                                                                                      |          2 |        341 |         25 |         28 |        394 |
